2048 RL!
iteration: 21501, score: 1372, eps: 0.9121202510603276
iteration: 21616, score: 744, eps: 0.9119478442513711
iteration: 21753, score: 1252, eps: 0.9117754719203285
iteration: 21839, score: 584, eps: 0.9116031340603049
iteration: 21911, score: 500, eps: 0.9114308306644068
iteration: 21993, score: 524, eps: 0.9114308306644068
iteration: 22043, score: 260, eps: 0.9112585617257419
iteration: 22092, score: 184, eps: 0.9112585617257419
iteration: 22177, score: 480, eps: 0.9110863272374198
iteration: 22305, score: 980, eps: 0.910741961584247
iteration: 22438, score: 1080, eps: 0.9105698304056218
iteration: 22566, score: 1204, eps: 0.9103977336497899
iteration: 22724, score: 1404, eps: 0.910053643378972
iteration: 22833, score: 812, eps: 0.9098816498502224
iteration: 22965, score: 960, eps: 0.9097096907167389
iteration: 23039, score: 480, eps: 0.9095377659716432
iteration: 23117, score: 488, eps: 0.9093658756080581
iteration: 23181, score: 328, eps: 0.9093658756080581
iteration: 23358, score: 1868, eps: 0.9090221979979193
iteration: 23494, score: 1248, eps: 0.9088504107376184
iteration: 23638, score: 1296, eps: 0.9085069392721961
iteration: 23781, score: 1224, eps: 0.9083352550533358
iteration: 23889, score: 952, eps: 0.9081636051678857
iteration: 23946, score: 312, eps: 0.9079919896089802
iteration: 24072, score: 1096, eps: 0.9078204083697542
iteration: 24216, score: 1264, eps: 0.9074773488228899
iteration: 24290, score: 540, eps: 0.9074773488228899
iteration: 24412, score: 976, eps: 0.907134426472403
iteration: 24528, score: 684, eps: 0.9069630167286543
iteration: 24687, score: 1320, eps: 0.9067916412634264
iteration: 24841, score: 1320, eps: 0.906448993141114
iteration: 24958, score: 768, eps: 0.9062777204703238
iteration: 25129, score: 1712, eps: 0.9059352778752207
iteration: 25267, score: 1224, eps: 0.90576410793721
iteration: 25351, score: 636, eps: 0.9055929722297636
iteration: 25464, score: 736, eps: 0.9054218707460364
iteration: 25660, score: 1636, eps: 0.9050797704223641
iteration: 25749, score: 568, eps: 0.9049087715687351
iteration: 25909, score: 1200, eps: 0.9045668764436912
iteration: 26048, score: 1188, eps: 0.9043959801586006
iteration: 26236, score: 1760, eps: 0.904054290109103
iteration: 26311, score: 532, eps: 0.9038834963310282
iteration: 26502, score: 1776, eps: 0.9035420112340683
iteration: 26591, score: 612, eps: 0.9035420112340683
iteration: 26761, score: 1308, eps: 0.903200662703832
iteration: 26911, score: 1120, eps: 0.9028594506857036
iteration: 27043, score: 944, eps: 0.9026888958516185
iteration: 27119, score: 540, eps: 0.9025183751250891
iteration: 27269, score: 1304, eps: 0.902347888499295
iteration: 27434, score: 1492, eps: 0.9020070175226356
iteration: 27590, score: 1352, eps: 0.9018366331581354
iteration: 27638, score: 236, eps: 0.9016662828671008
iteration: 27740, score: 668, eps: 0.9014959666427175
iteration: 27788, score: 240, eps: 0.9014959666427175
iteration: 27883, score: 584, eps: 0.901325684478173
iteration: 28000, score: 724, eps: 0.9011554363666561
iteration: 28087, score: 564, eps: 0.9009852223013566
iteration: 28186, score: 664, eps: 0.9008150422754662
iteration: 28304, score: 1024, eps: 0.900474784314685
iteration: 28465, score: 1296, eps: 0.9003047063661838
iteration: 28606, score: 1212, eps: 0.8999646524989448
iteration: 28697, score: 616, eps: 0.8999646524989448
iteration: 28874, score: 1340, eps: 0.8996247346260521
iteration: 29012, score: 904, eps: 0.8992849526931186
iteration: 29127, score: 724, eps: 0.8991151126871467
iteration: 29261, score: 1208, eps: 0.8989453066457795
iteration: 29342, score: 608, eps: 0.8987755345622246
iteration: 29493, score: 1376, eps: 0.8986057964296912
iteration: 29567, score: 496, eps: 0.8984360922413898
iteration: 29678, score: 716, eps: 0.8982664219905321
iteration: 29769, score: 660, eps: 0.8980967856703315
iteration: 29825, score: 260, eps: 0.8979271832740024
iteration: 29911, score: 440, eps: 0.8977576147947607
iteration: 29966, score: 288, eps: 0.8977576147947607
iteration: 30126, score: 1412, eps: 0.8974185795604102
iteration: 30271, score: 1192, eps: 0.8972491127917398
iteration: 30415, score: 1268, eps: 0.8969102809175157
iteration: 30499, score: 580, eps: 0.8969102809175157
iteration: 30634, score: 1228, eps: 0.8965715845489384
iteration: 30723, score: 688, eps: 0.8964022871623316
iteration: 30809, score: 600, eps: 0.8962330236318165
iteration: 30951, score: 1336, eps: 0.8960637939506223
iteration: 31082, score: 1272, eps: 0.8958945981119799
iteration: 31251, score: 1668, eps: 0.8955563079352811
iteration: 31397, score: 1272, eps: 0.8953872135836928
iteration: 31512, score: 764, eps: 0.8950491263202198
iteration: 31593, score: 596, eps: 0.8950491263202198
iteration: 31841, score: 2536, eps: 0.8945422489228533
iteration: 31925, score: 636, eps: 0.8943733573627877
iteration: 32025, score: 688, eps: 0.8942044995776565
iteration: 32098, score: 468, eps: 0.8942044995776565
iteration: 32207, score: 680, eps: 0.8938668853051814
iteration: 32299, score: 644, eps: 0.8938668853051814
iteration: 32379, score: 472, eps: 0.893698128804333
iteration: 32509, score: 1064, eps: 0.893360717039663
iteration: 32680, score: 1392, eps: 0.893192061762345
iteration: 32756, score: 448, eps: 0.8930234402127096
iteration: 32901, score: 1252, eps: 0.8926862982695084
iteration: 32997, score: 720, eps: 0.8926862982695084
iteration: 33048, score: 196, eps: 0.8925177778624569
iteration: 33141, score: 564, eps: 0.8923492911561167
iteration: 33205, score: 392, eps: 0.8921808381437482
iteration: 33358, score: 1252, eps: 0.8920124188186134
iteration: 33472, score: 712, eps: 0.8918440331739754
iteration: 33649, score: 1516, eps: 0.8915073628992497
iteration: 33812, score: 1476, eps: 0.8911708272657038
iteration: 33884, score: 400, eps: 0.8911708272657038
iteration: 34044, score: 1352, eps: 0.8908344262194922
iteration: 34145, score: 692, eps: 0.8906662761498157
iteration: 34284, score: 1256, eps: 0.8904981597067905
iteration: 34405, score: 1004, eps: 0.890162027673796
iteration: 34456, score: 268, eps: 0.890162027673796
iteration: 34628, score: 1412, eps: 0.8898260300667279
iteration: 34758, score: 1172, eps: 0.8896580816561155
iteration: 34865, score: 972, eps: 0.8894901668318264
iteration: 35045, score: 1492, eps: 0.8891544379153534
iteration: 35210, score: 1532, eps: 0.8888188432635922
iteration: 35307, score: 600, eps: 0.8886510962701979
iteration: 35451, score: 1264, eps: 0.8884833828228477
iteration: 35568, score: 976, eps: 0.8883157029148329
iteration: 35749, score: 1504, eps: 0.887980443689982
iteration: 35883, score: 1164, eps: 0.8878128643597356
iteration: 35971, score: 596, eps: 0.8876453185420039
iteration: 36061, score: 628, eps: 0.8874778062300851
iteration: 36238, score: 1428, eps: 0.8871428820968854
iteration: 36441, score: 2004, eps: 0.8868080919065485
iteration: 36518, score: 540, eps: 0.8866407470232134
iteration: 36717, score: 2148, eps: 0.8863061576467406
iteration: 36802, score: 412, eps: 0.8861389131402194
iteration: 36915, score: 892, eps: 0.8859717020792548
iteration: 36968, score: 252, eps: 0.8859717020792548
iteration: 37173, score: 2084, eps: 0.8856373802672431
iteration: 37304, score: 964, eps: 0.8853031921572141
iteration: 37403, score: 640, eps: 0.8851361482237328
iteration: 37489, score: 504, eps: 0.8851361482237328
iteration: 37583, score: 656, eps: 0.8849691376956975
iteration: 37693, score: 952, eps: 0.8848021605664279
iteration: 37793, score: 920, eps: 0.8846352168292448
iteration: 37854, score: 280, eps: 0.8844683064774705
iteration: 38002, score: 1272, eps: 0.884134585903444
iteration: 38126, score: 1072, eps: 0.8839677756678429
iteration: 38268, score: 1196, eps: 0.883800998790953
iteration: 38388, score: 1000, eps: 0.883634255266103
iteration: 38534, score: 1048, eps: 0.8833008682458457
iteration: 38657, score: 884, eps: 0.883134224737103
iteration: 38810, score: 1244, eps: 0.8828010376890603
iteration: 38947, score: 1248, eps: 0.8826344941364328
iteration: 39116, score: 1212, eps: 0.8823015069406572
iteration: 39236, score: 1080, eps: 0.8821350632841896
iteration: 39326, score: 576, eps: 0.8819686529131245
iteration: 39421, score: 664, eps: 0.8818022758208057
iteration: 39596, score: 1184, eps: 0.881635932000578
iteration: 39733, score: 1052, eps: 0.8813033441497825
iteration: 39818, score: 540, eps: 0.8811371001059112
iteration: 40005, score: 1740, eps: 0.8808047117479721
iteration: 40137, score: 1120, eps: 0.8806385674206091
iteration: 40233, score: 592, eps: 0.8804724563187889
iteration: 40309, score: 412, eps: 0.880306378435867
iteration: 40451, score: 1280, eps: 0.8801403337652004
iteration: 40730, score: 2736, eps: 0.8796423989603207
iteration: 40848, score: 800, eps: 0.8794764870722706
iteration: 40956, score: 688, eps: 0.8793106083632799
iteration: 41131, score: 1464, eps: 0.8789789504559382
iteration: 41297, score: 1484, eps: 0.8788131712443208
iteration: 41391, score: 640, eps: 0.8786474251852303
iteration: 41510, score: 1072, eps: 0.8783160324981122
iteration: 41618, score: 1056, eps: 0.8781503858568289
iteration: 41691, score: 464, eps: 0.8781503858568289
iteration: 41839, score: 1048, eps: 0.8778191919456843
iteration: 41926, score: 552, eps: 0.8776536446625752
iteration: 42093, score: 1612, eps: 0.8774881304856121
iteration: 42211, score: 924, eps: 0.8771572014236427
iteration: 42314, score: 680, eps: 0.8769917865253992
iteration: 42430, score: 980, eps: 0.8768264047068273
iteration: 42586, score: 1332, eps: 0.8766610559613116
iteration: 42692, score: 940, eps: 0.8764957402822382
iteration: 42804, score: 724, eps: 0.8761652080969695
iteration: 42870, score: 360, eps: 0.8761652080969695
iteration: 42989, score: 800, eps: 0.8759999915775528
iteration: 43096, score: 1024, eps: 0.8758348080981359
iteration: 43248, score: 1316, eps: 0.8755045402328732
iteration: 43398, score: 1308, eps: 0.8753394558338169
iteration: 43519, score: 1048, eps: 0.875009386069837
iteration: 43594, score: 440, eps: 0.875009386069837
iteration: 43681, score: 676, eps: 0.8748444006917108
iteration: 43840, score: 1384, eps: 0.8745145289101887
iteration: 43961, score: 896, eps: 0.874349642493598
iteration: 44018, score: 272, eps: 0.8741847890509931
iteration: 44150, score: 1068, eps: 0.8740199685757798
iteration: 44253, score: 692, eps: 0.8738551810613653
iteration: 44355, score: 684, eps: 0.8736904265011582
iteration: 44490, score: 1220, eps: 0.8735257048885684
iteration: 44648, score: 1400, eps: 0.8731963604798859
iteration: 44751, score: 940, eps: 0.8730317376706196
iteration: 44855, score: 848, eps: 0.8728671477826229
iteration: 44929, score: 468, eps: 0.8727025908093122
iteration: 45036, score: 964, eps: 0.8725380667441053
iteration: 45173, score: 1228, eps: 0.8723735755804212
iteration: 45265, score: 692, eps: 0.8722091173116802
iteration: 45375, score: 728, eps: 0.872044691931304
iteration: 45474, score: 724, eps: 0.8718802994327155
iteration: 45615, score: 1124, eps: 0.8715516130546005
iteration: 45785, score: 1652, eps: 0.8713873191619266
iteration: 45907, score: 1072, eps: 0.8710588299364868
iteration: 46024, score: 976, eps: 0.8708946345905813
iteration: 46165, score: 1168, eps: 0.8707304720804615
iteration: 46266, score: 716, eps: 0.8705663423995605
iteration: 46391, score: 880, eps: 0.8704022455413135
iteration: 46443, score: 240, eps: 0.8702381814991563
iteration: 46531, score: 624, eps: 0.8700741502665265
iteration: 46747, score: 2276, eps: 0.8697461862036053
iteration: 46867, score: 936, eps: 0.8695822533601953
iteration: 46963, score: 536, eps: 0.8694183533000757
iteration: 47071, score: 988, eps: 0.8692544860166902
iteration: 47220, score: 1284, eps: 0.8689268497539046
iteration: 47377, score: 1380, eps: 0.8687630807613989
