Episode 219: Total Reward = 576.0, Epsilon = 0.33, steps = 99.00
Episode 220: Total Reward = -2492.0, Epsilon = 0.33, steps = 81.00
Episode 221: Total Reward = 604.0, Epsilon = 0.33, steps = 81.00
Episode 222: Total Reward = -2288.0, Epsilon = 0.33, steps = 111.00
Episode 223: Total Reward = 996.0, Epsilon = 0.33, steps = 111.00
Episode 224: Total Reward = 484.0, Epsilon = 0.33, steps = 111.00
Episode 225: Total Reward = 1084.0, Epsilon = 0.32, steps = 111.00
Episode 226: Total Reward = 644.0, Epsilon = 0.32, steps = 111.00
Episode 227: Total Reward = 764.0, Epsilon = 0.32, steps = 111.00
Episode 228: Total Reward = 952.0, Epsilon = 0.32, steps = 111.00
Episode 229: Total Reward = 716.0, Epsilon = 0.32, steps = 111.00
Episode 230: Total Reward = 976.0, Epsilon = 0.32, steps = 111.00
Episode 231: Total Reward = -2292.0, Epsilon = 0.31, steps = 141.00
Episode 232: Total Reward = 776.0, Epsilon = 0.31, steps = 141.00
Episode 233: Total Reward = -2784.0, Epsilon = 0.31, steps = 81.00
Episode 234: Total Reward = 792.0, Epsilon = 0.31, steps = 81.00
Episode 235: Total Reward = 544.0, Epsilon = 0.31, steps = 81.00
Episode 236: Total Reward = 964.0, Epsilon = 0.31, steps = 81.00
Episode 237: Total Reward = -2528.0, Epsilon = 0.30, steps = 120.00
Episode 238: Total Reward = -2492.0, Epsilon = 0.30, steps = 132.00
Episode 239: Total Reward = -2292.0, Epsilon = 0.30, steps = 147.00
Episode 240: Total Reward = -2536.0, Epsilon = 0.30, steps = 64.00
Episode 241: Total Reward = 624.0, Epsilon = 0.30, steps = 64.00
Episode 242: Total Reward = 760.0, Epsilon = 0.30, steps = 64.00
Episode 243: Total Reward = -2308.0, Epsilon = 0.30, steps = 133.00
Episode 244: Total Reward = 672.0, Epsilon = 0.29, steps = 133.00
Episode 245: Total Reward = -2340.0, Epsilon = 0.29, steps = 140.00
Episode 246: Total Reward = 988.0, Epsilon = 0.29, steps = 140.00
Episode 247: Total Reward = -2692.0, Epsilon = 0.29, steps = 102.00
